Time,BP,MBP,HR,Event
360.109,92.14969,81.35938,415.7812,
360.11,93.42081,81.34375,416.0938,
360.111,94.87129,81.42188,415.8125,
360.112,96.06443,81.53906,415.9375,
360.113,97.17178,81.5625,415.8125,
360.114,98.06079,81.39844,415.8438,
360.115,98.84841,81.40625,415.8125,
360.116,99.8076,81.46094,415.6875,
360.117,100.4783,81.58594,416.25,
360.118,101.0553,81.60938,415.9375,
360.119,101.3985,81.42969,416.2188,
360.12,101.6636,81.44531,415.7812,
360.121,102.0535,81.50781,416.0938,
360.122,102.2095,81.63281,415.7188,
360.123,102.2641,81.67969,415.7812,
360.124,102.0925,81.48438,415.8438,
360.125,101.8508,81.49219,415.7188,
360.126,101.8118,81.55469,415.9375,
360.127,101.5388,81.69531,415.75,
360.128,101.2269,81.71875,416.125,
360.129,100.7122,81.54688,415.7188,
360.13,100.1585,81.53125,416.0938,
360.131,99.86219,81.61719,415.7812,
360.132,99.3631,81.73438,416.1875,
360.133,98.82502,81.76562,415.7188,
360.134,98.14657,81.57812,415.8125,
360.135,97.46032,81.57031,415.8125,
360.136,97.00802,81.64844,415.8438,
360.137,96.39195,81.77344,416.4375,
360.138,95.77589,81.79688,415.7812,
360.139,94.99606,81.60938,416.0312,
360.14,94.24743,81.60938,415.7812,
360.141,93.72494,81.69531,416.0938,
360.142,93.06209,81.78906,415.8125,
360.143,92.40703,81.82031,417.125,
360.144,91.6506,81.65625,417.0938,
360.145,90.89417,81.64844,417.1562,
360.146,90.39508,81.69531,417.125,
360.147,89.80241,81.82812,417.1562,
360.148,89.19414,81.85938,417.125,
360.149,88.49229,81.65625,417.0625,
360.15,87.83724,81.66406,417,
360.151,87.43953,81.73438,417.1875,
360.152,86.95603,81.84375,417.0938,
360.153,86.47254,81.86719,417.125,
360.154,85.87207,81.67188,417.0938,
360.155,85.31839,81.65625,417.1562,
360.156,85.02986,81.72656,417.125,
360.157,84.67894,81.84375,417.0938,
360.158,84.30462,81.86719,417.0625,
360.159,83.80553,81.6875,417.0938,
360.16,83.36882,81.67188,417.125,
360.161,83.15827,81.71875,417.0625,
360.162,82.85414,81.85156,417.1875,
360.163,82.54221,81.86719,417.125,
360.164,82.1211,81.67188,417.1562,
360.165,81.75458,81.66406,417.1562,
360.166,81.59861,81.73438,417.1875,
360.167,81.35687,81.85938,417.2188,
360.168,81.12292,81.86719,417.2188,
360.169,80.7486,81.67969,417.0625,
360.17,80.41328,81.66406,417.2188,
360.171,80.3197,81.71875,417.1875,
360.172,80.10914,81.85156,417.1875,
360.173,79.88299,81.875,417.1875,
360.174,79.53207,81.67188,417.0938,
360.175,79.23574,81.65625,417.1875,
360.176,79.14216,81.72656,417.2812,
360.177,78.955,81.83594,417.2188,
360.178,78.75224,81.85938,417.0312,
360.179,78.40132,81.66406,417.125,
360.18,78.08939,81.65625,417.25,
360.181,78.027,81.71094,417.1875,
360.182,77.83984,81.82812,417.1562,
360.183,77.62929,81.85156,417.1875,
360.184,77.29396,81.65625,417.25,
360.185,76.99763,81.63281,417.2188,
360.186,76.89625,81.69531,417.1562,
360.187,76.73249,81.82031,417.0625,
360.188,76.52193,81.84375,417.1875,
360.189,76.19441,81.65625,417.2188,
360.19,75.89807,81.61719,417.1562,
360.191,75.82009,81.67188,417.1562,
360.192,75.64073,81.82031,417.1875,
360.193,75.45357,81.80469,417.2188,
360.194,75.10265,81.63281,417.1562,
360.195,74.81411,81.60938,417.25,
360.196,74.73613,81.67188,417.25,
360.197,74.55677,81.78906,417.125,
360.198,74.34621,81.79688,417.2188,
360.199,74.01089,81.61719,417.1875,
360.2,73.71455,81.59375,417.1562,
360.201,73.63657,81.65625,417.2812,
360.202,73.46501,81.76562,417.125,
360.203,73.24666,81.77344,417.1875,
360.204,72.91913,81.59375,417.3125,
360.205,72.63839,81.57031,417.2188,
